748,891,311,978,870
184,603,554,621,49
871,343,637,18,883
717,112,255,801,289
225,830,196,646,667
412,589,133,891,927
502,309,185,647,313
306,473,307,682,350
84,73,55,425,837
352,641,792,338,32
590,533,738,363,522
892,986,593,303,520
490,889,740,330,990
804,971,856,590,635
572,432,902,823,447
558,494,418,204,628
984,112,500,223,845
808,439,683,942,815
55,806,571,723,741
247,472,352,453,191
972,587,97,952,812
576,78,576,908,955
437,216,582,291,104
792,434,944,717,987
268,186,220,422,807
177,126,541,998,246
615,813,489,774,883
229,59,231,889,289
963,476,47,707,932
881,761,611,857,343
304,234,415,500,281
225,933,20,283,637
453,101,550,171,896
896,236,137,503,118
243,687,129,603,790
55,835,901,242,350
626,419,994,939,70
558,411,356,739,447
100,760,712,598,47
773,665,166,634,570
356,484,140,971,383
329,307,87,198,915
392,214,783,604,161
464,348,801,172,599
589,267,753,285,887
555,540,67,760,660
248,644,272,703,655
79,305,117,339,860
354,12,792,974,423
155,1000,358,24,49
294,576,587,153,849
969,71,468,639,184
429,793,796,127,487
634,598,446,552,9
436,680,37,184,282
298,837,566,783,130
861,560,131,367,629
698,170,6,992,347
893,210,942,270,580
198,787,982,483,866
239,76,325,38,149
616,486,798,640,752
843,474,196,396,160
858,540,24,144,56
145,619,185,804,399
588,307,500,843,128
119,6,167,309,423
974,551,152,276,495
558,914,654,226,207
74,691,836,964,228
781,728,253,891,863
648,593,395,36,53
370,646,888,420,678
42,205,953,406,965
442,899,211,984,156
799,228,526,969,120
965,894,992,933,449
107,745,22,426,527
90,664,330,383,428
488,403,695,187,522
703,549,254,445,656
947,984,107,385,989
517,649,785,454,210
675,792,354,44,159
637,693,918,245,854
79,894,411,544,750
145,276,123,541,196
583,634,78,54,813
644,466,944,980,536
830,512,491,987,474
773,305,781,558,357
278,779,557,357,1
949,143,625,343,749
813,516,92,799,920
874,918,572,410,69
863,374,932,379,610
560,266,33,605,993
37,3,707,380,781
912,246,993,158,525
889,65,973,346,665
